Site Name,Site Number,Hours of Operation,Street Address,City,State,Zipcode,Public Health Nursing,Family Case Management,Healthy Start Program,Healthy Families Program,WIC,Phone 1,Phone 2,Phone 3,Phone 4,Phone 5,Fax 1,Fax 2,Location
Austin Clinic,19,Monday - Friday (8:00 a.m. - 4:00 p.m.),4909 W. Division St.,Chicago,IL,60651,,,,,Y,312-746-4797,312-746-4796,,,,312-746-4799,,"(41.9022123009897, -87.74884541003385)"
Erie Health Center ,12,"Monday, Wednesday & Friday (8:00 a.m. - 4:00 p.m.) Tuesday & Thursday (10:00 a.m. - 6:00 p.m.)",2418 W. Division St.,Chicago,IL,60622,,,,,Y,312-744-8118,312-744-8119,,,,312-742-3415,,"(41.903118044270656, -87.6877798637138)"
Greater Lawn Health Center,5,Monday - Friday (8:00 a.m. - 4:00 p.m.),4150 W. 55th St.,Chicago,IL,60632,,Y,,,Y,312-747-5415,312-747-5416 ,312-745-0062,312-745-0064,312-745-0065,312-745-1435,,"(41.79327455621039, -87.72766408530178)"
"Asian Human Services Family Health Center, Inc.",,"Monday, Wednesday, Thursday & Friday (9:00 a.m. - 5:00 p.m.) Tuesday (11:00 a.m. - 7:00 p.m.)",2424 W. Peterson Ave.,Chicago,IL,60659,,,,,Y,773-761-0011 ext. 116,,,,,773-761-0008,,"(41.990601390534046, -87.69073886349423)"
Westside Health Partnership,121,Monday - Friday (8:00 a.m. - 4:00 p.m.),2400 S. Kedzie Ave.,Chicago,IL,60623,,,,,Y,773-522-0716,773-522-0780,,,,773-522-7605,,"(41.84804956887838, -87.70529466357229)"
WIC Main Office,,Monday - Friday (8:00 a.m. - 4:00 p.m.),"333 S. State St., 2nd Floor",Chicago,IL,60604,,,,,Y,312-747-9140 ,312-747-9141,,,,312-747-8799,,"(41.87739693703613, -87.62751493171092)"
Chicago Family Health Center,33,Monday - Friday (8:00 a.m. - 4:00 p.m.),9119 S. Exchange Ave.,Chicago,IL,60617,,Y,,Y,Y,312-747-7969,312-747-2708,312-747-6839,,,312-745-2576,,"(41.72945712008797, -87.5524778181968)"
Friend Family Health Center Inc.,23,Monday - Friday (8:00 a.m. - 4:00 p.m.),800 E. 55th St.,Chicago,IL,60615,,,,,Y,773-702-3719,,,,,773-702-9377,,"(41.7950752068089, -87.60609660928338)"
Englewood NHC,28,"Monday, Wednesday & Friday (8:00 a.m. - 4:00 p.m.) Tuesday & Thursday (9:00 a.m. - 5:00 p.m.)",641 W. 63rd St.,Chicago,IL,60621,Y,Y,Y,,Y,312-747-4814,312-747-4815,312-747-1241,312-747-1625,312-747-1626,312-745-7654,,"(41.7796923798942, -87.64142791299344)"
Henry Booth House,103,Monday - Friday (9:00 a.m. - 5:00 p.m.) Saturdays (9:00 a.m. - 4:00 p.m.),2907 S. Wabash,Chicago,IL,60616,,,,,Y,312-225-1982 ,312-949-2132,312-949-2156 ,312-949-2129,,312-225-6324 ,,"(41.84169281204351, -87.62508310182291)"
Alivio Medical Center,106,"Monday, Tuesday, Thursday & Friday (8:00 a.m. - 4:30 p.m.) Wednesday (10:30 a.m. - 7:00 p.m.)",2355 S. Western Ave.,Chicago,IL,60608,,,,,Y,773-843-4220,773-843-4221,,,,773-650-1232,,"(41.84858266276971, -87.68539418924169)"
Lower West Side NHC,17,Monday - Friday (8:00 a.m. - 4:00 p.m.),1713 S. Ashland Ave.,Chicago,IL,60608,,Y,,,Y,312-747-1650,312-747-1651,312-747-1652,312-747-1653,,312-747-1648,,"(41.85828210120606, -87.66601326439744)"
Uptown NHC,1,"Monday, Wednesday & Friday (8:00 a.m. - 4:00 p.m.) Tuesday & Thursday (9:00 a.m. - 5:00 p.m.)",845 W. Wilson Ave.,Chicago,IL,60640,Y,Y,,,Y,312-744-0073,312-744-1365,312-744-1324,312-744-1353,312-744-0186,312-742-1733,,"(41.96536653208971, -87.6517602437067)"
Erie Health Center ,,Monday - Friday (8:30 a.m. - 5:00 p.m.) Every 3rd Wednesday (10:00 a.m. - 6:00 p.m.),1701 W. Superior St.,Chicago,IL,60610,,,,,Y,312-432-7372 ,,,,,312-666-6228,,"(41.89500554624363, -87.6698132252846)"
